Epoch	Train Loss	Test Loss
1	0.10386848850508354	0.036040287849803766
2	0.032697664540527124	0.0327059638996919
3	0.028940800527509834	0.03295492169757684
4	0.02758692906770323	0.03418410621583462
5	0.026817776054875658	0.03642859745770693
6	0.026117334632934735	0.03791012627383073
7	0.02526816733214738	0.03806969283769528
8	0.024210470761837705	0.03551264852285385
9	0.02282141472512324	0.03990766577422619
10	0.021164957666769624	0.039516649544239044
11	0.019358223886229098	0.04117793296774228
