Epoch	Train Loss	Test Loss
1	0.13886989835043287	0.12369728496959133
2	0.07829832753469777	0.07938645077088187
3	0.058231905189364455	0.07891901930974375
4	0.04832438968641813	0.08325040905225661
5	0.04292742505149786	0.07005839091875861
6	0.03787818308486495	0.07317336137977339
7	0.03507129497133022	0.0667167130497194
8	0.03181152164849431	0.06459651929476569
9	0.029049045449599277	0.06404944881796837
10	0.026704799990321316	0.06498312235118882
11	0.026214097128357997	0.07104292475888806
12	0.02529074912241032	0.06863087397669593
13	0.025509662687951743	0.06765884821934084
14	0.023308170006372208	0.07808810820983302
15	0.023569036036903083	0.07397298214416351
16	0.020812686294490516	0.0641746225376283
17	0.020101387010410775	0.06781001016497612
18	0.020205590061756762	0.06787789991546062
