Epoch	Train Loss	Test Loss
1	0.19377786026281468	0.21568525024394125
2	0.1615307221956113	0.28537648716629976
3	0.14932477215633672	0.19686492407255815
4	0.14090902143541503	0.2758306812609422
5	0.12907165477381033	0.26661889841811853
6	0.1200983303872978	0.2476257577144347
7	0.11133901279638796	0.2414010226052674
8	0.10428334159009597	0.25641625755984626
9	0.09967861232512137	0.3024318373981393
10	0.09261181472855455	0.29495675136166727
11	0.08402022736914018	0.23885598240274009
12	0.08049691080608788	0.32615235099511747
