step	train_stu/train_loss_4
1	0.3411591748396556
2	0.30276044209798175
3	0.26453275481859845
4	0.2307504266500473
5	0.2016990234454473
6	0.17663042744000754
7	0.15493658681710562
8	0.13612882792949677
9	0.11984299619992574
10	0.1057525376478831
11	0.09357096999883652
12	0.0830132986108462
13	0.07387119034926097
14	0.06598238895336787
15	0.05912502855062485
16	0.05318507303794225
17	0.048021089285612106
18	0.043504536151885986
19	0.03958257163564364
20	0.036131616681814194
21	0.033061616122722626
22	0.030397131418188412
23	0.028056923300027847
24	0.025983657067020733
25	0.024180734530091286
26	0.02251901477575302
27	0.02110702854891618
28	0.019810936724146206
29	0.018656198556224506
30	0.017667479813098907
31	0.016734467819333076
32	0.015951817234357197
33	0.01522634488840898
34	0.014582461677491665
35	0.014001621243854364
36	0.013537948951125145
37	0.01309013677140077
38	0.01267207475999991
39	0.012311838877697786
40	0.011990751139819622
41	0.011756479119261106
42	0.01151445476959149
43	0.011280530132353306
44	0.011099055409431458
45	0.01095900684595108
46	0.010832555592060089
47	0.010686308766404787
48	0.010610345130165419
49	0.010525395472844442
50	0.010453397097686926
