step	train_stu/train_loss_3
1	0.3419297436873118
2	0.3038097023963928
3	0.2655798097451528
4	0.23185507456461588
5	0.20283443729082742
6	0.177839125196139
7	0.15621521572271982
8	0.13747471074263254
9	0.12127766261498134
10	0.1071905642747879
11	0.09508780638376872
12	0.08460745960474014
13	0.07551054159800212
14	0.06768469264109929
15	0.06087894613544146
16	0.05492511639992396
17	0.04982569689551989
18	0.04529970635970434
19	0.041485920548439026
20	0.03797453517715136
21	0.03501886626084646
22	0.032391585409641266
23	0.030043891941507656
24	0.027969511225819588
25	0.026158240313331287
26	0.02449066440264384
27	0.023095642526944477
28	0.02180904398361842
29	0.02059543877840042
30	0.0196463776131471
31	0.01877103125055631
32	0.017958668371041615
33	0.017183586334188778
34	0.01658925786614418
35	0.016074358796079952
36	0.01551637084533771
37	0.01508658193051815
38	0.014661252809067568
39	0.014285600123306116
40	0.013957828283309937
41	0.0137649637957414
42	0.013517659778396288
43	0.013190813673039278
44	0.013108035549521446
45	0.012879475330313047
46	0.012746555730700493
47	0.012554513290524483
48	0.012505230183402697
49	0.012445841915905476
50	0.012350167147815228
