step	train_stu/precision_5
1	0.010796998135063959
2	0.014186186792402952
3	0.018879673400809864
4	0.033023856285451375
5	0.039580352885073916
6	0.05902955125866472
7	0.1017577027234173
8	0.1398394592310942
9	0.20253423257715103
10	0.5431861804222649
11	0.6072961373390557
12	0.6072961373390557
13	0.6072961373390557
14	0.6072961373390557
15	0.6072961373390557
16	0.6072961373390557
17	0.6072961373390557
18	0.6072961373390557
19	0.6072961373390557
20	0.6072961373390557
21	0.6072961373390557
22	0.6072961373390557
23	0.6072961373390557
24	0.6072961373390557
25	0.6072961373390557
26	0.6072961373390557
27	0.6072961373390557
28	0.6072961373390557
29	0.6072961373390557
30	0.6072961373390557
31	0.6072961373390557
32	0.6072961373390557
33	0.6072961373390557
34	0.6072961373390557
35	0.6072961373390557
36	0.6072961373390557
37	0.6072961373390557
38	0.6072961373390557
39	0.6072961373390557
40	0.6072961373390557
41	0.6072961373390557
42	0.6072961373390557
43	0.6072961373390557
44	0.6072961373390557
45	0.6072961373390557
46	0.6072961373390557
47	0.6072961373390557
48	0.6074437126665646
49	0.6073122227321401
50	0.6075137446548564
