step	train_stu/precision
1	0.020669521214480343
2	0.028101338572679217
3	0.04686066480039521
4	0.12201477666390755
5	0.47547281323877066
6	0.6072359343860187
7	0.6072359343860187
8	0.6072359343860187
9	0.6194018040829246
10	0.6198923028191321
11	0.6160476414355117
12	0.6040593759466828
13	0.6026490066225165
14	0.6031175059952039
15	0.5973854289071681
16	0.59804351000146
17	0.594683435758182
18	0.591873778274225
19	0.5945304869540952
20	0.5862022043815485
21	0.5732916014606155
22	0.5677336747759283
23	0.5808255659121172
24	0.5832328913887773
25	0.5825320512820513
26	0.5813273041627876
27	0.570563996909606
28	0.5826876836761956
29	0.5838359469240049
30	0.5845079876493489
31	0.5814139262415124
32	0.5815347721822542
33	0.5827876520112254
34	0.5918647794420778
35	0.5891737114807745
36	0.5789125545707104
37	0.5791076393486032
38	0.5796448449509674
39	0.5791561962703347
40	0.5791561962703347
41	0.5781971756631913
42	0.5753370860060217
43	0.5747712418300653
44	0.5740571577711079
45	0.57734405907952
46	0.5735504885993485
47	0.5747712418300653
48	0.5756385068762279
49	0.5740330772235969
50	0.576580120639916
