step	train_stu/accuracy
1	0.039653827721972165
2	0.052714773183460455
3	0.08395445896365758
4	0.1868983329420052
5	0.39833669663058763
6	0.48029586516308964
7	0.48029586516308964
8	0.4803043318198552
9	0.48059921414538304
10	0.4807172684844019
11	0.48079745596868884
12	0.48130728412928125
13	0.48194511314395766
14	0.48345047155643656
15	0.4847289462674078
16	0.48696583740030946
17	0.49039707788382225
18	0.4946311858076564
19	0.49738098009544873
20	0.4975389426139325
21	0.4981239340534394
22	0.49882009214518475
23	0.4991297512773006
24	0.4993288590604027
25	0.49954191479615206
26	0.4997708524289642
27	0.4996845425867508
28	0.49979953032819757
29	0.4996273149475374
30	0.4997132040839738
31	0.499455992670217
32	0.4993897122929381
33	0.49950653120464444
34	0.4993887174710368
35	0.4995081303165326
36	0.4991039944505462
37	0.49925824489330134
38	0.4995146462627762
39	0.49942909340031977
40	0.4994007191370356
41	0.49914432401597264
42	0.498831309503449
43	0.4989740082079343
44	0.49888869892289284
45	0.49894604910841445
46	0.4988031460161861
47	0.4988323745514609
48	0.4990852961353761
49	0.49943117178612056
50	0.49948764659000344
