step	train_stu/recall
1	0.42322735934209205
2	0.4214221241600642
3	0.40046133787985155
4	0.39915755691505367
5	0.3266472771036004
6	0.3972520308895798
7	0.3972520308895798
8	0.3925383612476181
9	0.3925383612476181
10	0.3925383612476181
11	0.39424330558619997
12	0.4002607561929596
13	0.4015645371577575
14	0.40357035402667735
15	0.40667937017350314
16	0.4102898405375589
17	0.41741049042222444
18	0.42503259452411996
19	0.42854277404472974
20	0.43084946344398756
21	0.439374185136897
22	0.4451910540567646
23	0.4457927991174406
24	0.44769832514291447
25	0.43746865911142313
26	0.43746865911142313
27	0.4368669140507472
28	0.4375689499548691
29	0.43696720489419316
30	0.4368669140507472
31	0.43736836826797715
32	0.43084946344398756
33	0.4314512085046635
34	0.4301474275398656
35	0.43285528031290743
36	0.4329555711563534
37	0.438772440076221
38	0.43867214923277503
39	0.43867214923277503
40	0.438772440076221
41	0.438772440076221
42	0.438772440076221
43	0.43897302176311304
44	0.43897302176311304
45	0.439173603450005
46	0.43887273091966705
47	0.439173603450005
48	0.43776953164176113
49	0.4402768027279109
50	0.439975930197573
