Epoch	Train Loss	Test Loss
1	0.0840053478058193	0.07210652026937368
2	0.07457409869490562	0.06902756732931241
3	0.07286376405163404	0.06899819031802065
4	0.07170797924642114	0.07351876581685805
5	0.07089761373320976	0.07123692251032714
6	0.06988176731416848	0.07112683203293506
7	0.06904449925546609	0.07090207042146919
8	0.06825418390391509	0.07194562641468001
9	0.06746367314658461	0.07287956283154359
10	0.06667581324668873	0.07199825112998418
11	0.06589178681836445	0.0706793585164182
12	0.0652445305823457	0.07253400285711187
