step	train_tch_4/train_loss
1	0.579133947690328
2	0.3862066864967346
3	0.29906730850537616
4	0.2391613870859146
5	0.19356355567773184
6	0.15728114048639932
7	0.12860447665055594
8	0.10602726538976033
9	0.08840417365233104
10	0.0748782033721606
11	0.06424635897080104
12	0.055903381357590355
13	0.049433903147776924
14	0.044238379846016564
15	0.03999735166629156
16	0.03661524628599485
17	0.0337830384572347
18	0.031486013904213905
19	0.029468217864632607
20	0.02779787468413512
21	0.026361199095845222
22	0.025114422664046288
23	0.02395975838104884
24	0.023054797823230427
25	0.022221264739831287
26	0.02135231097539266
27	0.020700149858991306
28	0.02007226397593816
29	0.019475446393092472
30	0.01894688295821349
31	0.018460539480050404
32	0.017975186308224995
33	0.017497032259901363
34	0.017108406250675518
35	0.016701964661478996
36	0.01634517063697179
37	0.015952426629761856
38	0.015578145471711954
39	0.015184029005467892
40	0.014917530740300814
41	0.014658495783805847
42	0.014269061076144377
43	0.014014333176116148
44	0.013808890245854855
45	0.013644372733930746
46	0.013362907494107882
47	0.013105131375292936
48	0.012927492459615072
49	0.012735460884869099
50	0.012531434185802937
