Epoch	Train Loss	Test Loss
1	0.09319297243551962	0.033226556879909414
2	0.030461254208509266	0.030363279933992186
3	0.02878178848788656	0.02961509106190581
4	0.027302105589930355	0.028913121229331745
5	0.026071252461908192	0.029468677006661892
6	0.025261871837850274	0.0301598426640818
7	0.024723998367272574	0.03003017266133898
8	0.023364907997692454	0.03013077829229204
9	0.025472696870565414	0.031248678992453375
10	0.02303303039536394	0.03142788770951723
11	0.02140472440755573	0.03721615902491306
12	0.019849074940229285	0.04286658136468185
13	0.017703858685904537	0.04539770020270034
