Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3022829156673018	0.19299108580402705	0.4901371	0.8852574422110348	0.9902151645108251	0.9347994106996144	0.8852575907749641	0.9902146576952195	0.9347992676898967
2	0.1822869103092169	0.1802560658612545	0.54263246	0.8873102528167068	0.9885547859053769	0.9352003250750057	0.8857080412743231	0.989979191164866	0.9349453524495317
3	0.17113418608881154	0.17347059821629007	0.53338736	0.8941767271140005	0.9850655125056244	0.9374232202692943	0.8912349581501631	0.9878867015740983	0.9370752112598053
4	0.16339279713519742	0.17065564933894337	0.42365885	0.8954895992612987	0.9895062308417366	0.9401533138400527	0.8991129556450953	0.9836487601617796	0.9394830335039699
5	0.15985877392493889	0.16663947002827256	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
6	0.15837343963478287	0.17571698367271735	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
7	0.1573121838447795	0.17309918939203456	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
8	0.15639233294218027	0.172649361965233	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
9	0.1557046786905426	0.18712129184193368	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
10	0.15502722170928523	0.17101976435253585	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
11	0.1543635587647705	0.17294472911381636	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
12	0.1537285409896179	0.1860277711643257	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
13	0.15328498156833611	0.1812768388269604	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
14	0.15278825765116172	0.1817615891928258	0.37036803	0.895507654283123	0.9902752728416472	0.9405102505929404	0.9001981774182757	0.9818677087606422	0.9392609774004087
