Epoch	Train Loss	Test Loss
1	0.4362997591495514	0.34660462396485464
2	0.27175249010324476	0.25732145990644184
3	0.20496730878949165	0.22585160391671316
4	0.17627117782831192	0.21311792731285095
5	0.1638268455862999	0.20946227865559713
6	0.15843602493405343	0.1961865531546729
7	0.14558109045028686	0.1924782054764884
8	0.13685051687061786	0.2020719668694905
9	0.13037619292736052	0.1972490612949644
10	0.1301609080284834	0.20276118602071488
11	0.12569515816867352	0.19714874242033278
12	0.11855143327265978	0.19814745868955339
13	0.11581631228327752	0.20173350189413344
14	0.12006436958909035	0.19719241985252925
15	0.12234244532883168	0.19561763320650374
16	0.11096368245780468	0.19874276859419687
