Epoch	Train Loss	Test Loss
1	0.18009078546481974	0.07223930582404137
2	0.028551806476624572	0.03596886208182887
3	0.02216820259962012	0.038887216268401394
4	0.01859923791797722	0.03726177397919329
5	0.015526534441639395	0.04489362416298766
6	0.012955603408901131	0.03791932810686136
7	0.011536520357955904	0.042833711363767325
8	0.010031223379294662	0.04331437263049578
9	0.008903104989953777	0.045959075618731346
10	0.00821970434695044	0.04470414903603102
11	0.007490597829660948	0.049892373971248925
