Epoch	Train Loss	Test Loss
1	0.10096812205245861	0.03707804439796342
2	0.03360629370674873	0.03519095483201522
3	0.030110075074829098	0.038105545455106984
4	0.02891173576697325	0.04148593880236149
5	0.028075390925201085	0.04433544905925239
6	0.027147251459905226	0.04648474964002768
7	0.026019192714658048	0.044532534700852854
8	0.024675377302317537	0.041082465648651124
9	0.023082771051961642	0.04211032229165236
10	0.02114145099543608	0.04703627096282111
11	0.019194086257400166	0.04041587693823708
