Epoch	Train Loss	Test Loss
1	0.608939340821019	0.3862944079769982
2	0.24436041602381953	0.21016174885961744
3	0.16213482507952937	0.1941086384985182
4	0.14984963558338307	0.19094894660843742
5	0.146081719133589	0.18954758014943865
6	0.14348573375631263	0.18814431958728367
7	0.14106690994015447	0.18730532791879442
8	0.14033042832657142	0.18714108566443124
9	0.1400050515377963	0.18685089382860395
10	0.13963787257671356	0.18801629708872902
11	0.13939791752232444	0.18784409430291918
12	0.139501859192495	0.18865589631928337
13	0.1394556987064856	0.1878962533341514
14	0.13913021898931927	0.1881190621190601
15	0.13920351476581008	0.18827741841475168
16	0.13971600929896036	0.18844802843199837
17	0.1393178618616528	0.18900495105319554
18	0.13941850789167262	0.18850513133737776
