Epoch	Train Loss	Test Loss
1	0.09823435853020503	0.021242961411674817
2	0.01969686673524288	0.02065313731630643
3	0.016584484945409574	0.023489629353086152
4	0.01347389043523715	0.022317272797226905
5	0.010638386476784945	0.025485545769333838
6	0.008832870355735604	0.02888756381968657
7	0.00787271589685518	0.028014821683367094
8	0.006858406498884926	0.027828200037280718
9	0.005712992243038921	0.03300517561535041
10	0.004730542512753835	0.03890368131299814
11	0.003992678821445084	0.03556591831147671
