Epoch	Train Loss	Test Loss
1	0.2806327983736992	0.29863493279977277
2	0.039567723777145146	0.05200845815918662
3	0.02484571449458599	0.028159801255572926
4	0.021273811161518098	0.02572003531862389
5	0.01869921898469329	0.02848393978043036
6	0.016795257618650795	0.025322702120650898
7	0.014853097684681415	0.029507546431638977
8	0.013224110519513489	0.03289972939951853
9	0.012239479320123791	0.027684066275304012
10	0.011209058715030551	0.03073539212346077
11	0.010079543897882104	0.030865443701093846
12	0.009503624332137407	0.03698802349919623
13	0.008644048310816287	0.03189692121337761
14	0.007985420944169163	0.03529403765093197
15	0.007462671236135065	0.032569569450887764
