Epoch	Train Loss 1	Train Loss 2	Test Loss 1	Test Loss 2	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.3725617939028247	0.36468744719469987	0.6903611242771148	0.6793342365158929	0.28214216	0.06129530696975225	0.9949922101046071	0.11547680336088027	0.062239069326175886	0.44858050795063925	0.1093115243607098
2	0.35306777728014976	0.34532439708709717	0.6622145891189575	0.6441225873099433	0.44394064	0.06511512349162732	0.6205888171723917	0.11786345409819704	0.06726385403819164	0.39112075574350225	0.11478696650905226
3	0.3331228895434018	0.32382235262129044	0.623829448223114	0.6026761730511984	0.43251315	0.06870102285660434	0.5859176002176225	0.12298195323438994	0.07020643259848769	0.3095679699285308	0.11445564877897137
4	0.31081194815964536	0.30106546812587315	0.5798495829105377	0.5619365043110318	0.4466356	0.07673971855669155	0.4645559759626085	0.13172059268218927	0.07379574356332637	0.2258451418255558	0.11124256390813735
5	0.2884378628484134	0.27900236734637507	0.5383665204048157	0.5236332482761807	0.39904657	0.0793124577222354	0.5849840492618147	0.13968618587474746	0.08891674070313492	0.1732509830106091	0.1175195215848759
6	0.267235371573218	0.25847524735662675	0.5002847939729691	0.48522911138004726	0.4052999	0.0905931333956457	0.47878180873952075	0.15235775604698495	0.11152657730050332	0.1497329178722457	0.12783611809758066
7	0.24754644570679502	0.23937488264507717	0.463646924495697	0.450979534122679	0.38209978	0.10087140505848323	0.5122721764720429	0.16855306251144245	0.13531302244801896	0.10308009990849964	0.11701746875065798
8	0.22951529663184594	0.2219276704170086	0.43141412138938906	0.4199201663335164	0.41300023	0.13920802736893712	0.3230148131661597	0.19456526596457777	0.1791250191150098	0.07966095407671192	0.11027854211510565
9	0.21303978356821784	0.20601183396798592	0.4016845881938934	0.39379322197702193	0.39244223	0.15849350305251653	0.35503375621336897	0.2191530934680731	0.25098168368251716	0.06124959814031704	0.09846884768488379
10	0.19799107878372588	0.19149461940482812	0.37326958775520325	0.3684744636217753	0.40235162	0.2121870158759583	0.2972216039765561	0.24760698089447541	0.3302745817745465	0.05785542943343967	0.09846276869982429
11	0.1843609820152151	0.17847182794853492	0.34900747537612914	0.3452913330660926	0.39249784	0.25015955037674475	0.3004983060068749	0.27302805271258607	0.3956374576908612	0.05853549966614734	0.10198245358925889
12	0.17217498298349052	0.16691063620426036	0.32810195088386535	0.32365862528483075	0.35158616	0.24466259516572011	0.38166777950886566	0.29818074678014156	0.45265875577180875	0.05636545737814378	0.10024795342214209
13	0.1612053184673704	0.15625426007641685	0.3096389204263687	0.3081837296485901	0.374783	0.34291402437751034	0.30456018003313795	0.3226011361961985	0.4949528936742934	0.054566362489798945	0.09829602405613097
14	0.15131480066940703	0.14699122916769097	0.29140200316905973	0.29204292760954964	0.33499244	0.3069391590321823	0.4039122585750674	0.34881125900298454	0.49227644449195573	0.05694042584761481	0.10207417833611332
15	0.14272159081080865	0.1387412514951494	0.2771352186799049	0.2784004078971015	0.3233333	0.3338375576490993	0.41887998615129707	0.3715547024952015	0.4932008630638768	0.06076736652076069	0.10820301964475415
16	0.13504323568837395	0.13134853265903615	0.2644083097577095	0.2665947377681732	0.30404404	0.33341338420339567	0.45491752602814256	0.3848018387149913	0.4912554196911385	0.06234389296931028	0.11064600192017555
17	0.12815013527870178	0.1247022792145058	0.25173311680555344	0.2559020784166124	0.29631102	0.3448280577015109	0.46774612359967355	0.39699018504380135	0.49131090882539064	0.06239953507925909	0.11073503354526552
18	0.12195720934662325	0.1189742284240546	0.2421438902616501	0.2457364863819546	0.27267614	0.3396631384408602	0.49995672280337317	0.4045089388437028	0.4910605543917767	0.06231916314266637	0.1106021121931148
19	0.11664848646213269	0.11389785342746311	0.23235630989074707	0.23749400675296783	0.2537763	0.3329371731194326	0.5317036377574993	0.40947386212954784	0.4915586004404208	0.062102777159532115	0.1102737357492192
20	0.11177314792213769	0.1091740432160872	0.22539235800504684	0.23108997444311777	0.24123177	0.32983517201470947	0.5462076810841556	0.4113006659636921	0.4921179571336218	0.06118159111704627	0.10883276420484227
21	0.1076688239800519	0.10524514841812628	0.21883386224508286	0.22466080718570286	0.24809101	0.33843387841192996	0.5376635259786829	0.41539571163132827	0.49165930723187123	0.06195439819966862	0.11004227749409762
22	0.10391819143089755	0.1013848031008685	0.21223258823156357	0.21867357194423676	0.25186145	0.34322435139308544	0.5400561367064817	0.41970907256369294	0.4917818181818182	0.06270865791230804	0.11123357075882943
23	0.10044251921875723	0.0983252161078983	0.20768936425447465	0.21436603367328644	0.22677769	0.33417376118751363	0.5678648267675643	0.4207481310466139	0.4915040295174289	0.06259119123574944	0.11104164610136774
24	0.09753870578675435	0.0953792592993489	0.2027731254696846	0.21057103905412886	0.2158302	0.32942524959899916	0.5828078245171502	0.42092666558013164	0.491729908542518	0.062492271929173775	0.11089169738458837
25	0.09491669283858661	0.09294797314537896	0.199213670194149	0.20664777523941463	0.21253017	0.32903212335703175	0.5845574597522072	0.4210603661917263	0.49209216049985355	0.06232534559932735	0.11063797096041351
26	0.09260341448002848	0.09071444692435088	0.1955874264240265	0.20378391279114616	0.21404944	0.3291402639228726	0.5838155649528897	0.4209562019391508	0.49137931034482757	0.06237480525261518	0.11069782751810403
27	0.09047886832007046	0.08848027222686344	0.19313356429338455	0.20079435408115387	0.21342847	0.32918183626951686	0.5830365754136063	0.4207874957332269	0.49316503691877867	0.0611135840937755	0.10875066009505367
28	0.0886552585610028	0.0867588699415878	0.190404312312603	0.19819330506854588	0.21711868	0.33108944901225323	0.5768355713826446	0.42070472166673056	0.4918048780487805	0.06233152805598833	0.11064044598568984
29	0.08698203517445202	0.0852130146490203	0.18829968422651291	0.19640080630779266	0.21763156	0.33055006872767234	0.5783440908079235	0.4206687367481433	0.49163272316827794	0.06193585082968568	0.11001235415236787
30	0.0855947352688888	0.08367251880742886	0.1862123653292656	0.19464540647135842	0.21840958	0.33144541388456317	0.5763471573064273	0.4208618315613643	0.4962244897959184	0.06013057348467987	0.10726338310871915
31	0.08425630757520938	0.0825397918621699	0.1847115397453308	0.19310848083761004	0.20798136	0.3254911019093784	0.5924091797116502	0.42014131719198394	0.49601646177386166	0.05812127506986176	0.10405033729752464
32	0.08310520597572985	0.08126627653837204	0.18349175602197648	0.19183522959550223	0.2240086	0.33447419024093	0.5667272547419443	0.42067318172327	0.49640971488912355	0.05812745752652274	0.10406889223412735
33	0.08198462991878905	0.08037151975764169	0.18222829848527908	0.19056937098503113	0.22087339	0.33256881561058643	0.5701523357321265	0.42009625393181144	0.4976424042057341	0.0567673170611074	0.10190955554692312
34	0.08099113301984195	0.07929502068846314	0.1810864105820656	0.1896970702542199	0.20472626	0.3250663586813365	0.595110913272498	0.42046362909672264	0.4984532773011148	0.05279817988475901	0.09548247158725634
35	0.08013402850463472	0.07855989397675903	0.18021212071180343	0.18903725345929465	0.20809758	0.32590046788600596	0.5921186042485842	0.4204089784756257	0.5	0.05080124638326285	0.09223153853924639
36	0.07937872949345358	0.07775149659978019	0.17921770215034485	0.1886224928829405	0.20571664	0.32407270825510914	0.5976395380468383	0.42025841455886065	0.49930078820239004	0.04856319707198853	0.08851701600180303
37	0.07869416115612819	0.0770477150325422	0.17858118042349816	0.18795114921198952	0.21394044	0.328318248672631	0.5837722877562628	0.42027208371258734	0.49897828863346105	0.04830971634888839	0.08809072871572872
38	0.07817328181760065	0.07637043545643489	0.17817041873931885	0.18738317986329397	0.21221022	0.32734288445808124	0.5863689195538739	0.4201405577569232	0.49439341524513897	0.05124638326285333	0.0928666659197598
39	0.07753716100906503	0.07575254694179252	0.17765645831823348	0.18679306738906437	0.20718575	0.32553199418626316	0.5940413482701487	0.4205851905513327	0.49300198368966275	0.055314439745777384	0.09946858184728954
40	0.07694846468752828	0.07524794008996752	0.1769446961581707	0.18654137518670824	0.21047541	0.3266215106732348	0.5902885970769345	0.4205449404054018	0.49162949357124114	0.05791725400004946	0.1036265991161651
41	0.07650706480289328	0.07480525860080013	0.17654981315135956	0.18625946011808184	0.22556633	0.33580981778133023	0.5636422088681158	0.4208708899327155	0.49658854939187186	0.05174716225239261	0.09372742899055449
42	0.0760994990324152	0.0741321775648329	0.17634705379605292	0.1860071321328481	0.22356924	0.33384500362984926	0.5714568340875931	0.4214682902473445	0.49504110315566163	0.05770705047357618	0.10336483890079347
43	0.0756757161740599	0.07399664653672113	0.17618491500616074	0.18602166573206583	0.22356924	0.33384500362984926	0.5714568340875931	0.4214682902473445	0.49504110315566163	0.05770705047357618	0.10336483890079347
44	0.07528815315715198	0.07372659775945875	0.17649798169732095	0.18578219248188865	0.21867283	0.3321829594618251	0.5748510027944704	0.4210552532847889	0.4943671305500331	0.059957464698172466	0.10694455931409039
45	0.07500501182572596	0.07328280999704644	0.1764245554804802	0.18562793400552538	0.2192724	0.331968380572568	0.5763904345030542	0.4212947481630772	0.492093172347473	0.05694660830427579	0.10208017022597055
46	0.07469074351006541	0.07302309572696686	0.17588369250297547	0.18559227883815765	0.21576151	0.3314587491389512	0.5801060909563024	0.421870679558396	0.49353682381055836	0.056179983678314414	0.10087699822380107
47	0.07442844427865127	0.0727218105285256	0.17584469988942147	0.1854187250137329	0.21734312	0.3322995614768237	0.5776454732052329	0.42189655444900764	0.49272163539860214	0.05796671365333729	0.1037300099017021
48	0.07411558617805612	0.07244219272224992	0.1756072036921978	0.18530633548895517	0.21743119	0.33203730581658564	0.5812993050918713	0.4226548083817127	0.4942418426103647	0.0636793036080817	0.11282231033802878
49	0.07391980650096104	0.07217377810566514	0.17562027797102928	0.18515951931476593	0.21707107	0.334227856966743	0.5782699013279917	0.4236150897080836	0.4995109546165884	0.06314761233523752	0.1121210125359503
50	0.0735915179910331	0.07190061264016011	0.17549230232834817	0.18506205413076612	0.21428767	0.33345401754180465	0.5807985261023321	0.42366762500704663	0.5036851264203092	0.06084155600069244	0.10856878082146444
