Epoch	Train Loss	Test Loss
1	0.15319701183873874	0.03787497729063034
2	0.029543746979190752	0.025245791797836623
3	0.024168391425449114	0.023192687580982845
4	0.02275731020535414	0.02224640908340613
5	0.021803426484649	0.022020283465584118
6	0.020993100837446176	0.022737607235709827
7	0.020315941853018906	0.022191687176624935
8	0.01956390797232206	0.02095253753165404
9	0.018479324590701323	0.023689228917161624
10	0.017395526099090394	0.022927855576078095
11	0.016130343760148838	0.022598273927966754
12	0.014982892773472346	0.0232645682990551
13	0.014001126866787672	0.023498945186535516
14	0.012617505334604245	0.02648546000321706
15	0.011400127317756414	0.028096392874916394
16	0.010321961930738045	0.027042103682955107
17	0.008924661168398766	0.02611366684238116
