Epoch	Train Loss	Test Loss
1	0.043348081911877764	0.17595095932483673
2	0.005484188196261401	0.06587168574333191
3	0.0031682356508666433	0.09723911434412003
4	0.003087337309236586	0.15273281931877136
5	0.0019020288391441945	0.09660494327545166
6	0.001896342588689388	0.08772173523902893
7	0.001639979822436162	0.09750579297542572
8	0.0013737515173449274	0.10688520222902298
9	0.0011097431163710756	0.10612349957227707
10	0.0010448068055804029	0.08296523988246918
11	0.001738694142671181	0.0987907126545906
