Epoch	Train Loss	Test Loss
1	0.17624713267598832	0.21868947500156033
2	0.11663429317425708	0.1857624500989914
3	0.09747220347730481	0.17819142093261084
4	0.08634546459937582	0.19615129050281313
5	0.07925573873276613	0.1976877926952309
6	0.07093678718926955	0.2071931767794821
7	0.06833560293426319	0.20453645123375785
8	0.061426411097755235	0.20884177419874403
9	0.059963977078394015	0.22431912935442394
10	0.05787813473416834	0.22847581489218605
11	0.05187681758282136	0.2303304432166947
12	0.05020374933979949	0.2552077853017383
