Epoch	Train Loss	Test Loss
1	0.14615777179598807	0.04113574374629104
2	0.03365896716713905	0.03618256383292053
3	0.030050413720309734	0.03863758512813112
4	0.026699684411287308	0.0376092405260905
5	0.023493063636124134	0.039809946537665696
6	0.02066070519387722	0.04578397471619689
7	0.018099779821932317	0.043251717625104866
8	0.01621962022036314	0.04188873877991801
9	0.014156280104070901	0.04834959583114023
10	0.012250105030834674	0.04627031395616739
11	0.010855881776660681	0.052249100383209145
