Epoch	Train Loss	Test Loss
1	0.18010159974035464	0.16567548364400864
2	0.10966012724920322	0.15781561444912637
3	0.0929377927984062	0.1441370594714369
4	0.08667310248864324	0.15886933782270976
5	0.08208693642365306	0.1510763785668782
6	0.0790047445579579	0.17026238782065256
7	0.06653620822257117	0.19122603588870593
8	0.06466065562869373	0.17341068546686852
9	0.061973829606645985	0.17009446769952774
10	0.05692319787646595	0.2016580711518015
11	0.05529388922609781	0.17100299362625396
12	0.05836306031989424	0.17266353113310678
