Epoch	Train Loss	Test Loss
1	0.39980914692083996	0.4917784460953304
2	0.168961763381958	0.20111178074564254
3	0.12451141675313314	0.17059223566736495
4	0.10288446048895518	0.1892816764967782
5	0.09039030770460764	0.18876567376511438
6	0.08136101265748343	0.21128281312329428
7	0.0736099640528361	0.1926989651152066
8	0.06627399424711863	0.2040195699248995
9	0.06025591144959132	0.21866002891744887
10	0.05622053270538648	0.22274897353989737
11	0.05381140684088071	0.2247509424175535
12	0.05107362593213717	0.247139573097229
