Epoch	Train Loss	Test Loss
1	0.11757025665239147	0.03299645707011223
2	0.03089822788277398	0.029632023225227993
3	0.026448458919058674	0.034504867469271026
4	0.021510759287554283	0.040671603547202215
5	0.017704840749502182	0.04601868366201719
6	0.015462698090983473	0.055444276995129056
7	0.013190246794534765	0.05110650882124901
8	0.011372031036602415	0.051145986964305244
9	0.00932543874596772	0.05896928616695934
10	0.007695673519502516	0.05362981019748582
11	0.006462707042532123	0.06806991456283464
