Epoch	Train Loss	Test Loss
1	0.30563883404982717	0.23473332822322845
2	0.15463389547770484	0.20585548505187035
3	0.11939789864577745	0.1950418047606945
4	0.10446964034385849	0.18579336404800414
5	0.09657363149157741	0.1897390905767679
6	0.09141785690658971	0.18474329486489297
7	0.08832745227897376	0.18830709159374237
8	0.08667360899741189	0.1971706546843052
9	0.08385431086807921	0.1911911964416504
10	0.08189294997014497	0.19228600785136224
11	0.08106273242778946	0.19453743398189544
12	0.07953640883951857	0.19491930976510047
13	0.079280105337762	0.2036678593605757
14	0.07736557421454213	0.20156911611557007
15	0.07706580480985474	0.20276966765522958
