Epoch	Train Loss	Test Loss
1	0.12061594666114875	0.04187047423964197
2	0.03703180282980531	0.035934207114306366
3	0.032457863727768696	0.03783774126998403
4	0.030423303861375692	0.03950080761516636
5	0.029310637644932164	0.0378600505434654
6	0.028392363114507643	0.03878451628102498
7	0.027391829701897862	0.04126196105710485
8	0.02593674027657771	0.039403937790881506
9	0.02418059804527969	0.04120750486512076
10	0.02260869204138334	0.04147441603920676
11	0.0208326412446715	0.043186548521572894
