Epoch	Train Loss	Test Loss	Opt_Th	P	R	F1	P_5	R_5	F1_5
1	0.25121681615041713	0.1345374954988759	0.13088919	0.18543434787638657	0.3620372065552336	0.24525158526001017	0.0	0.0	0.0
2	0.16619096360617835	0.11782631088626644	0.19376285	0.7412430104117649	0.25910610833685815	0.3839871264143181	0.8835449014555707	0.22971340669145607	0.36462716297361064
3	0.1498581780564571	0.10980192053095046	0.25485292	0.7730413492425179	0.2938975553605512	0.4258818602542587	0.8846337989757886	0.25597656861032725	0.39706025961831143
4	0.14329853158440453	0.10795370397050824	0.2747235	0.798743311126556	0.2974644520341833	0.4334903461642256	0.8906211761826773	0.26549039743716546	0.40904593540285006
5	0.14180164000136428	0.10965081946272479	0.2747235	0.798743311126556	0.2974644520341833	0.4334903461642256	0.8906211761826773	0.26549039743716546	0.40904593540285006
6	0.14084398298192832	0.10887024667914222	0.2747235	0.798743311126556	0.2974644520341833	0.4334903461642256	0.8906211761826773	0.26549039743716546	0.40904593540285006
7	0.1400277247115717	0.10977930729056402	0.2747235	0.798743311126556	0.2974644520341833	0.4334903461642256	0.8906211761826773	0.26549039743716546	0.40904593540285006
8	0.13940761015487693	0.1077851724308149	0.28723708	0.8112661957968514	0.2888014876449293	0.425964488819697	0.8929597048567584	0.25857615938170986	0.4010263130053407
9	0.1388986454988762	0.10726835720139172	0.26918358	0.8205197917099928	0.28367525738123145	0.4215942886019892	0.9052248027950961	0.24998263899849116	0.39177463181550465
10	0.13839285095349504	0.10610991144554326	0.22716014	0.8140020357470813	0.28665012636704734	0.42399187398450744	0.9098590360540117	0.2419762361208438	0.3822842905812084
11	0.13799340869573987	0.10590819538550711	0.25228724	0.8107962728061726	0.29816310082217495	0.4359934846738029	0.8926609257291551	0.26253025899808435	0.40573457818495906
12	0.1377380762921492	0.10635162822524578	0.25228724	0.8107962728061726	0.29816310082217495	0.4359934846738029	0.8926609257291551	0.26253025899808435	0.40573457818495906
13	0.13729633399817429	0.10576757472772706	0.25302804	0.7862375202833238	0.29603453681900155	0.4301200582965582	0.875989800026842	0.2632576674249391	0.4048480036719782
14	0.13701680610894207	0.10755840721611332	0.25302804	0.7862375202833238	0.29603453681900155	0.4301200582965582	0.875989800026842	0.2632576674249391	0.4048480036719782
15	0.13677900980188626	0.10649877753069778	0.25302804	0.7862375202833238	0.29603453681900155	0.4301200582965582	0.875989800026842	0.2632576674249391	0.4048480036719782
16	0.136425799854538	0.10449264830312514	0.25053865	0.8053653942850164	0.2960464615473107	0.432945358211271	0.8817231988345605	0.26661938862619416	0.40943269504726426
17	0.13615685410923878	0.10227490652859067	0.20577969	0.7602205594119341	0.30744264381046976	0.4378238717214505	0.8832221860383894	0.2625376242714517	0.40476032121191474
18	0.13595052541104533	0.10605015066824704	0.20577969	0.7602205594119341	0.30744264381046976	0.4378238717214505	0.8832221860383894	0.2625376242714517	0.40476032121191474
