Epoch	Train Loss	Test Loss
1	0.12265383800671946	0.09380933710119942
2	0.08019210229958257	0.08731049096042459
3	0.07228123300498532	0.08870362981476566
4	0.06760453955540734	0.08910141817548058
5	0.06403741787277883	0.08830664222213355
6	0.061766967718159	0.09250650944357569
7	0.05932945854240848	0.09631698866459457
8	0.05805057305241785	0.08868100680410862
9	0.055233976292994716	0.09792382253164594
10	0.05284581609791325	0.09141893837262284
11	0.051175012463523496	0.09461432559923692
