Epoch	Train Loss	Test Loss
1	0.04777056026568277	0.023948950739700277
2	0.01998243519413736	0.01908727680974318
3	0.01739980878202495	0.019413920384794867
4	0.015648188537061628	0.017108593809376606
5	0.014710549617782958	0.01889134607078768
6	0.01372416784415918	0.018070080030050943
7	0.012761104632370514	0.026082669438838486
8	0.012164779112063318	0.01844808474763009
9	0.011616828028582831	0.03249548484219882
10	0.011227467159344072	0.035338347985367426
11	0.011075118370612518	0.10804755518846902
12	0.010541290676430509	0.060545113671197505
13	0.010311582832288477	0.07884372038383401
