Epoch	Train Loss	Test Loss
1	0.15869537710221773	0.10459177523399844
2	0.08314226183694662	0.09165547607523022
3	0.0707450042833987	0.07871695630478137
4	0.059272925148612446	0.07425543462688272
5	0.05171917102386042	0.06835599215419004
6	0.04696608377025299	0.06800859477935416
7	0.04257375090238974	0.06875948822408011
8	0.038891980059675334	0.0750318793297717
9	0.03588565227758024	0.06450809363388654
10	0.03495839781598332	0.06542447779440519
11	0.031883615481945654	0.06725885092534802
12	0.03042423517740879	0.07067789109141538
13	0.028044690598839336	0.06805165687745268
14	0.026043566385495293	0.067048025345712
15	0.025786372861757723	0.06516419684119297
16	0.023891414179629887	0.06684564313653743
17	0.021873099095735354	0.06341511448563049
18	0.02082196830474224	0.07612616867955888
19	0.01997621930636389	0.07055141793733294
20	0.018977445367838918	0.06742575908587738
21	0.01879388471278026	0.06827764777523099
22	0.01789056694077462	0.06561384807256135
23	0.017089413440565474	0.07576937617903406
24	0.016332342423805872	0.0664147926268704
25	0.014727282904318928	0.0671295290530631
26	0.01476710183142694	0.06916524797226443
