Epoch	Train Loss	Test Loss
1	0.123589752105678	0.036729740185870066
2	0.03436877778390559	0.03368028512017594
3	0.031738620024265314	0.0314007710872425
4	0.03010249574009965	0.033589778261052236
5	0.029196418821811676	0.03158358825991551
6	0.028178227611067818	0.036731678164667554
7	0.026556924076342	0.04023628568069802
8	0.024347508507894307	0.037905697607331805
9	0.021796125055449766	0.03786535571432776
10	0.01931558022411858	0.04476463567051622
11	0.016926625289204644	0.04403927798072497
12	0.014598735608160496	0.048737870529294014
