Epoch	Train Loss	Test Loss
1	0.6165667325258255	0.6771412094434103
2	0.4299563989043236	0.6336848537127177
3	0.3122672215104103	0.5685846209526062
4	0.24246801435947418	0.4896954695383708
5	0.19463833793997765	0.4110601544380188
6	0.16504698619246483	0.34117157260576886
7	0.14733725786209106	0.29996862014134723
8	0.13328328356146812	0.27772673467795056
9	0.11676495149731636	0.27413633465766907
10	0.11172034591436386	0.30090734859307605
11	0.10602628998458385	0.3014100342988968
12	0.09864511713385582	0.307287593682607
13	0.0873958207666874	0.3170816898345947
14	0.08767964318394661	0.33574320872624713
15	0.0811880212277174	0.3303447763125102
16	0.07878690771758556	0.31498754024505615
17	0.07652094960212708	0.3271648089090983
18	0.07657955586910248	0.3421788811683655
