Epoch	Train Loss	Test Loss
1	0.10299049304532153	0.0312377620827068
2	0.029796650832785026	0.029983284798535435
3	0.025622052938810418	0.03583208827132529
4	0.02136944074715887	0.03594463098455559
5	0.018571332562714815	0.04418120702559298
6	0.016674122473757182	0.046522912992672485
7	0.014026945224031806	0.04663810709660703
8	0.011757239865671312	0.044747581366788254
9	0.009929811781538385	0.05471900240941481
10	0.008605752539421831	0.05512251163070852
11	0.007532126187080783	0.06079284406521104
