Epoch	Train Loss	Test Loss
1	0.3742600869801309	0.4112952394144876
2	0.15774890946017373	0.17727383758340562
3	0.1257857038742966	0.17527052760124207
4	0.11030580310357942	0.17302212970597403
5	0.09538052769170867	0.1884974092245102
6	0.08358379867341784	0.1849298690046583
7	0.07588394400146273	0.22259309249264853
8	0.07217793601254623	0.20176111374582564
9	0.06404535141256121	0.2019200176000595
10	0.05912591786020332	0.19858194887638092
11	0.0634231296264463	0.21243870045457566
12	0.06366971424884266	0.21010576401438033
13	0.05952226701709959	0.21285828948020935
