Epoch	Train Loss	Test Loss
1	0.04064409603347625	0.03530384356360785
2	0.02577155071419258	0.03480883756974293
3	0.021971110848744223	0.04013776104331641
4	0.01809904438677741	0.045085826644878736
5	0.0145977141501302	0.044862028562429684
6	0.011726541078986566	0.04787390582575536
7	0.009390329299323215	0.052714529452133556
8	0.007519661530315236	0.05567476451787025
9	0.006162458086569159	0.06263475759803312
10	0.005020198563650891	0.06384147611978166
11	0.004378194589327815	0.06515811798187139
