Epoch	Train Loss	Test Loss
1	0.051624637341996335	0.03707113601159671
2	0.029285741028984145	0.0289890038721651
3	0.023341684873718644	0.025615783443814412
4	0.019930209737776695	0.02585154793553614
5	0.017637426300598984	0.02177321163754415
6	0.01565116649800804	0.022881573633522313
7	0.014288013136639003	0.02025205443715515
8	0.013046602520703979	0.019355327612855015
9	0.012106060526575792	0.020263605914213237
10	0.011276025043905905	0.01855717882503233
11	0.010701211929781565	0.020789830801157937
12	0.01014474141329291	0.020653346211601028
13	0.009579918872762293	0.01869857305380909
14	0.009144354070016998	0.025767925908153803
15	0.00889508120179385	0.01961533715356292
16	0.008475764019712942	0.02048639124905357
17	0.008258116249294359	0.02044812789579821
18	0.007777835115194048	0.02102790555992094
19	0.007608083113336429	0.02116780461786541
