Epoch	Train Loss	Test Loss
1	0.15536387385720882	0.16847208578412126
2	0.11653604549475205	0.16556058369758653
3	0.102552804363589	0.16207267162276479
4	0.09547080023166461	0.15429042643163263
5	0.08986843702120659	0.15718440656981816
6	0.08469381005081356	0.15106143130034935
7	0.08015024846690333	0.16722684826065853
8	0.07456605352907099	0.18563881898071707
9	0.0684968133449045	0.1854597221060497
10	0.06223128767859223	0.19305214031440457
11	0.056205572353469	0.1996729281253931
12	0.05114247083154499	0.20829789340496063
13	0.04633320511406303	0.2288487286465924
14	0.04196365502400276	0.234322413075261
15	0.038475667054836564	0.24923364927129046
