step	train_tch_2/train_loss
1	0.22534162596319662
2	0.043812811487551895
3	0.026727628922372154
4	0.021421480359453144
5	0.018493551309361603
6	0.016583785950911766
7	0.0149721313606609
8	0.013651249902040669
9	0.012709084841789621
10	0.012055554822313063
11	0.01134663461848642
12	0.010830799145906261
13	0.01033783768952796
14	0.009871963326903906
15	0.009436330673369494
16	0.009026847045981523
17	0.008661444101369742
18	0.008352084579228453
19	0.007906123840560516
20	0.00768956725457401
21	0.007387332434794216
